TITLE: Bill of Materials
BOM NO: 05-037760-01-f2.csv
DATE: 04/17/2019
DESIGN: 02_037760f_top
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom
CALLOUT: 

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
25,1,E014885,CAP TANT SMD," 47UF",C3528,10,10V,N/A,COUT2,AVX," TAJB476K010R",REL,N/A,N/A,N/A,N/A,7003276,?,?
27,1,E006709,DIODE SCHOTTKY," B160B-13-F",DIO214AA,N/A,60V,N/A,D1,DIODES INCORPORATED," B160B-13-F",REL,A002-0002-060,N/A,N/A,N/A,7003741,?,?
28,6,E016644,DIODE SCHOTTKY BARRIER ARRAYS," BAT54SDW-7-F",SOT363H43,N/A,30V,N/A,"D2,D5,D6,D7,D10,D11",DIODES INCORPORATED," BAT54SDW-7-F",REL,N/A,N/A,N/A,N/A,7003770,?,?
29,2,E021289,DIODE SCHOTTKY BARRIER RECTIFIER," PD3S130L-7",POWERDI323,N/A,30V,N/A,"D3,D4",DIODES INCORPORATED," PD3S130L-7",REL,N/A,N/A,N/A,N/A,N/A,?,?
30,2,E023287,DIODE ESD SUPPRESSOR," MLESD12A-0402-TP",D0402,N/A,12V,N/A,"D8,D9",MICRO COMMERCIAL COMPONENTS," MLESD12A-0402-TP",REL,N/A,N/A,N/A,N/A,N/A,?,?
31,1,E027097,"LED UNICOLOR RED 631NM, REVERSE MOUNT"," LTST-C230KRKT",LED1206H11,N/A,2V,0.075W,DS1,LITE-ON TECHNOLOGY," LTST-C230KRKT",REL,N/A,N/A,N/A,N/A,N/A,?,?
32,1,E027102,"LED UNICOLOR GREEN 574NM, REVERSE MOUNT"," LTST-C230KGKT",LED1206H11,N/A,2V,0.075W,DS2,LITE-ON TECHNOLOGY," LTST-C230KGKT",REL,N/A,N/A,N/A,N/A,N/A,?,?
33,1,E027101,"LED UNICOLOR BLUE 468NM, REVERSE MOUNT"," LTST-C230TBKT",LED1206H11,N/A,3.3V,0.076W,DS3,LITE-ON TECHNOLOGY," LTST-C230TBKT",REL,N/A,N/A,N/A,N/A,N/A,?,?
34,1,E015984,IND CHIP FERRITE BEAD," 330OHM",L0603,25,N/A,N/A,E1,MURATA MANUFACTURING," BLM18SG331TN1D",REL,N/A,N/A,N/A,N/A,7005146,?,?
35,3,E012241,IND CHIP FERRITE BD," 100OHM",L0805,25,N/A,N/A,"E2,E3,E4",TDK," MPZ2012S101A",REL,N/A,N/A,N/A,N/A,7004820,?,?
37,1,E018625,IND SHIELDED POWER," 2.2uH",LSML126W90H59,20,N/A,N/A,L1,COILCRAFT," PFL3215-222MEC",NON-PREF,N/A,N/A,N/A,N/A,7005018,?,?
38,1,E015929,IND POWER WIRE-WOUND," 1uH",L0603,20,N/A,N/A,L2,TAIYO YUDEN," BRC1608T1R0M",REL,N/A,N/A,N/A,N/A,7004982,?,?
39,1,E013623,"IND SHIELDED POWER, DCR .0401OHM, 4.5A"," 4.7uH",LSMSQ157H122,20,N/A,N/A,L3,COILCRAFT," XAL4030-472MEC",REL,N/A,N/A,N/A,N/A,7005202,?,?
40,1,E016398,IND SM," 110nH",L9075,5,N/A,N/A,L4,COILCRAFT," 0805LS-111XJLB",REL,N/A,N/A,N/A,1552_CAB3,N/A,?,?
41,1,E021325,CONN-PCB MICRO-USB B-TYPE REVERSE," 10103592-0001LF",CNFCI10103592-0001LF,N/A,N/A,N/A,P1,AMPHENOL FCI," 10103592-0001LF",REL,N/A,N/A,N/A,N/A,N/A,?,?
42,1,E023551,CONN-PCB HDR FEMALE 8POS 2.54MM PITCH RA GOLD," PPPC081LGBN-RC",CNHDRRA1X8H108,N/A,N/A,N/A,P2,SULLINS," PPPC081LGBN-RC",REL,N/A,N/A,N/A,N/A,N/A,?,?
43,1,E020346,CONN-PCB HDR FEMALE 6POS 0.100 RA GOLD," PPPC061LGBN-RC",CNHDRRA1X6H108,N/A,N/A,N/A,P3,SULLINS," PPPC061LGBN-RC",REL,N/A,N/A,N/A,N/A,N/A,?,?
44,1,E016316,TRAN N-CHAN (D-S) MOSFET," SI3456DDV-T1-GE3",TSOP6,N/A,30V,N/A,Q1,VISHAY," SI3456DDV-T1-GE3",REL,N/A,N/A,N/A,N/A,N/A,?,?
45,7,E003751,RES PRECISION THICK FILM CHIP," 10K",R0402,1,N/A,1/10W,"R1,R2,R9,R10,R24,R25,R93",PANASONIC," ERJ-2RKF1002X",REL,A003-0035-004,41816DG719,N/A,N/A,7000582,?,?
47,1,E021391,RES THICK FILM CHIP," 62K",R0402,1,N/A,1/16W,R12,YAGEO," RC0402FR-0762KL",REL,N/A,N/A,N/A,N/A,N/A,?,?
49,4,E008190,RES PRECISION THICK FILM CHIP," 4.7K",R0402,1,50V,1/10W,"R14,R23,R35,R44",PANASONIC," ERJ-2RKF4701X",REL,N/A,N/A,N/A,1548_CAB3,7007535,?,?
50,2,E027098,RES PRECISION THICK FILM CHIP," 255",R0402,1,N/A,1/10W,"R15,R16",PANASONIC," ERJ-2RKF2550X",REL,N/A,N/A,N/A,N/A,N/A,?,?
51,1,E003763,RES PRECISION THICK FILM CHIP," 1K",R0402,1,N/A,1/10W,R17,PANASONIC," ERJ-2RKF1001X",REL,A003-0035-019,N/A,N/A,751_CAB3,7001202,?,?
52,1,E023305,RES GENERAL PURPOSE CHIP," 53.6K",R0402,1,N/A,1/16W,R18,YAGEO," RC0402FR-0753K6L",REL,N/A,N/A,N/A,N/A,N/A,?,?
53,1,E019976,RES PRECISION THICK FILM CHIP," 12.7K",R0402,1,N/A,1/10W,R19,PANASONIC," ERJ-2RKF1272X",REL,N/A,N/A,N/A,N/A,N/A,?,?
54,4,E017444,RES PRECISION THICK FILM CHIP," 150",R0402,1,N/A,1/10W,"R7,R20,R74,R75",PANASONIC," ERJ-2RKF1500X",REL,N/A,N/A,N/A,N/A,7006192,?,?
55,1,E010661,RES THICK FILM CHIP," 0",R0402,1,50V,1/16W,R21,MULTICOMP (SPC)," MC00625W040210R",REL,N/A,N/A,N/A,N/A,7001777,?,?
56,2,E027103,RES PRECISION THICK FILM CHIP," 1.02K",R0402,1,N/A,1/10W,"R22,R40",PANASONIC," ERJ-2RKF1021X",REL,N/A,N/A,N/A,N/A,N/A,?,?
58,2,E020998,RES PRECISION THICK FILM CHIP," 604",R0402,1,N/A,1/10W,"R27,R62",PANASONIC," ERJ-2RKF6040X",REL,N/A,N/A,N/A,N/A,N/A,?,?
59,4,E003114,RES PRECISION THICK FILM CHIP R1206," 49.9",R1206,1,N/A,1/4W,"R28,R48,R63,R64",PANASONIC," ERJ-8ENF49R9V",REL,A003-0014-026,41816DG151,N/A,601_CAB3,7007761,?,?
60,2,E007883,RES PRECISION THICK FILM CHIP R0603," 100",R0603,1,N/A,1/16W,"R29,R31",MULTICOMP (SPC)," MC 0.063W 0603 1% 100R",REL,N/A,N/A,FEC 9330364,N/A,N/A,?,?
61,1,E011558,RES PRECISION THICK FILM CHIP," 6.8K",R0402,1,N/A,1/10W,R3,PANASONIC," ERJ-2RKF6801X",REL,N/A,N/A,N/A,N/A,7008171,?,?
62,2,E017079,RES LOW RESISTANCE CHIP," 0.5",R0805,1,N/A,1/3W,"R30,R32","SUSUMU CO, LTD"," RL1220S-R50-F",REL,N/A,N/A,N/A,N/A,7005433,?,?
63,2,E006438,RES PRECISION THICK FILM CHIP R0603," 2.49K",R0603,1,N/A,1/10W,"R33,R39",PANASONIC," ERJ-3EKF2491V",REL,A003-0032-114,41816DG1091,N/A,N/A,N/A,?,?
64,3,E007502,RES CHIP SMD WW PRECISION POWER," 0",R0603,N/A,N/A,N/A,"R36,R37,R54",VISHAY," CRCW06030000Z0EA",REL,N/A,N/A,N/A,N/A,7000371,?,?
65,2,E003682,RES PRECISION THICK FILM CHIP R0603," 1MEG",R0603,1,N/A,1/10W,"R8,R38",PANASONIC," ERJ-3EKF1004V",REL,A003-0032-017,41816DG307,FEC 911-598,N/A,N/A,?,?
66,2,E004235,RES THICK FILM CHIP," 39",R0603,1,N/A,1/16W,"R4,R5",MULTICOMP (SPC)," MC0063W0603139R",REL,N/A,N/A,N/A,N/A,N/A,?,?
67,3,E003795,RES PRECISION THICK FILM CHIP," 130",R0402,1,N/A,1/16W,"R41,R42,R43",PANASONIC," ERJ-2RKF1300X",REL,A003-0035-052,N/A,N/A,N/A,7006099,?,?
68,1,E019639,RES STD THICK FILM CHIP," 1",R0402,5,N/A,1/16W,R45,VISHAY," CRCW04021R00JNED",REL,N/A,N/A,N/A,N/A,7005444,?,?
69,8,E003992,RES CHIP SMD 0805," 8.06",R0805,1,N/A,1/8W,"R46,R47,R49,R57,R59,R61,R65,R66",YAGEO," 9C08052A8R06FGHFT",REL,A003-0072-013,41816JH1363,N/A,N/A,7008378,?,?
70,4,E011432,RES THICK FILM CHIP," 220",R0402,1,50V,1/16W,"R50,R51,R52,R53",MULTICOMP (SPC)," 0402WGF2200TCE",REL,N/A,41816DG1634,N/A,N/A,7006806,?,?
71,1,E003464,RES THICK FILM CHIP," 100K",R0402,5,N/A,1/10W,R55,PANASONIC," ERJ-2GEJ104X",REL,N/A,N/A,N/A,N/A,7005773,?,?
73,1,E017078,RES THICK FILM," 0.1",R0402,1,N/A,1/6W,R6,PANASONIC," ERJ-2BSFR10X",REL,N/A,N/A,N/A,N/A,7005414,?,?
